CODIGO DANE,MUNICIPIO,HABITANTES
66572,Pueblo Rico,16734
66594,Quinchía,27746
66682,Santa Rosa de Cabal,80760
66687,Santuario,12649
68001,Bucaramanga,618967
68013,Aguada,1902
68020,Albania,4418
68051,Aratoca,8646
68077,Barbosa,33273
68079,Barichara,11018
68081,Barrancabermeja,214689
68092,Betulia,6175
68101,Bolívar,11186
68121,Cabrera,2059
68132,California,2274
68147,Capitanejo,5582
68152,Carcasí,4339
68160,Cepitá,2063
68162,Cerrito,7063
68167,Charalá,12503
68169,Charta,2942
68176,Chimá,2920
68179,Chipatá,5189
68190,Cimitarra,35056
68207,Concepción,5865
68209,Confines,3356
68211,Contratación,3769
68217,Coromoro,5118
68229,Curití,13535
68235,El Carmen de Chucurí,22230
68245,El Guacamayo,2124
68250,El Peñón,5610
68255,El Playón,14302
68264,Encino,2632
68266,Enciso,3510
68271,Florián,5694
68276,Floridablanca,313745
68296,Galán,2945
68298,Gámbita,4088
68307,Girón,175170
68318,Guaca,6020
68320,Guadalupe,4552
68322,Guapotá,2458
68324,Guavatá,4270
68327,Güepsa,5409
68344,Hato,2415
68368,Jesús María,3402
68370,Jordán,1361
68377,La Belleza,6294
68385,Landázuri,10787
68397,La Paz,5009
68406,Lebrija,45008
68418,Los Santos,15068
68425,Macaravita,2144
68432,Málaga,22079
68444,Matanza,5130
68464,Mogotes,10847
68468,Molagavita,4183
68498,Ocamonte,5919
68500,Oiba,11385
68502,Onzaga,4159
68522,Palmar,1433
68524,Palmas del Socorro,2675
68533,Páramo,4961
68547,Piedecuesta,186435
68549,Pinchote,5486
68572,Puente Nacional,15123
68573,Puerto Parra,8169
68575,Puerto Wilches,34849
68615,Rionegro,27571
68655,Sabana de Torres,35212
68669,San Andrés,8758
68673,San Benito,3028
68679,San Gil,60804
68682,San Joaquín,2249
68684,San José de Miranda,4370
68686,San Miguel,2525
68689,San Vicente de Chucurí,34224
68705,Santa Bárbara,2494
68720,Santa Helena del Opón,3475
68745,Simacota,10418
68755,Socorro,34267
68770,Suaita,10349
68773,Sucre,7197
68780,Suratá,4062
68820,Tona,7865
68855,Valle de San José,6455
68861,Vélez,25693
68867,Vetas,2209
68872,Villanueva,8132
68895,Zapatoca,9746
70001,Sincelejo,301126
70110,Buenavista,11232
70124,Caimito,16419
70204,Coloso,8943
70215,Corozal,72582
70221,Coveñas,19992
70230,Chalán,4715
70233,El Roble,10694
70235,Galeras,23805
70265,Guaranda,19055
70400,La Unión,13311
70418,Los Palmitos,24462
70429,Majagual,39233
70473,Morroa,16245
70508,Ovejas,24003
70523,Palmito,15423
70670,Sampués,50010
70678,San Benito Abad,30495
70702,San Juan de Betulia,14534
70708,San Marcos,62044
70713,San Onofre,52346
70717,San Pedro,19675
70742,San Luis de Sincé,32675
70771,Sucre,31560
70820,Santiago de Tolú,34943
70823,Tolú Viejo,22828
73001,Ibagué,543949
73024,Alpujarra,4481
73026,Alvarado,8759
73030,Ambalema,6594
73043,Anzoátegui,10057
73055,Armero,12099
73067,Ataco,19214
73124,Cajamarca,18535
73148,Carmen de Apicalá,10503
73152,Casabianca,6329
73168,Chaparral,51005
73200,Coello,8364
73217,Coyaima,22604
73226,Cunday,8414
73236,Dolores,8226
73268,Espinal,71383
73270,Falan,7423
73275,Flandes,28766
73283,Fresno,31349
73319,Guamo,32938
73347,Herveo,7250
73349,Honda,24666
73352,Icononzo,11953
73408,Lérida,18711
73411,Líbano,36414
73443,Mariquita,38535
73449,Melgar,37880
73461,Murillo,4164
73483,Natagaima,14746
73504,Ortega,34494
73520,Palocabildo,9866
73547,Piedras,6796
73555,Planadas,25930
73563,Prado,8458
73585,Purificación,23657
73616,Rioblanco,22732
73622,Roncesvalles,5507
73624,Rovira,21600
73671,Saldaña,14546
73675,San Antonio,12634
73678,San Luis,13519
73686,Santa Isabel,5702
73770,Suárez,3791
73854,Valle de San Juan,5387
73861,Venadillo,12787
73870,Villahermosa,9233
73873,Villarrica,4985
76001,Cali,2280907
76020,Alcalá,14477
76036,Andalucía,22878
76041,Ansermanuevo,17533
76054,Argelia,5242
76100,Bolívar,15911
76109,Buenaventura,315743
76111,Guadalajara de Buga,130564
76113,Bugalagrande,24772
76122,Caicedonia,28879
76126,Calima,18495
76130,Candelaria,95413
76147,Cartago,139026
76233,Dagua,49631
76243,El Águila,8670
76246,El Cairo,6588
76248,El Cerrito,57851
76250,El Dovio,8724
76275,Florida,58689
76306,Ginebra,23340
76318,Guacarí,34000
76364,Jamundí,169280
76377,La Cumbre,16716
76400,La Unión,34933
76403,La Victoria,12016
76497,Obando,12193
76520,Palmira,358806
76563,Pradera,48770
